mejor
0,0.006,0
0,0,1
0,0.002,2
1,0.003,3
2,0.005,4
3,0.006,5
4,0.01,6
5,0.014,7
6,0.019,8
7,0.025,9
8,0.033,10
9,0.094,11
10,0.057,12
11,0.067,13
12,0.083,14
13,0.1,15
14,0.121,16
15,0.142,17
16,0.166,18
17,0.194,19
18,0.223,20
19,0.256,21
20,0.289,22
21,0.345,23
22,0.371,24
23,0.427,25
24,0.47,26
25,0.5900000000000001,27
26,0.5820000000000001,28
27,0.644,29
28,0.7060000000000001,30

random
0,0.001,0
0,0.001,1
0,0.001,2
0,0.002,3
0,0.005,4
0,0.009000000000000001,5
1,0.019,6
1,0.036,7
1,0.078,8
1,0.141,9
3,0.178,10
3,0.3,11
3,0.609,12
4,0.945,13
3,2.154,14
4,4.038,15
3,10.698,16
5,7.218999999999999,17
7,11.711,18
6,39.079,19
5,48.899,20
9,33.102,21
9,55.407,22
10,57.933,23
10,132.149,24
11,316.135,25
9,831.929,26
13,535.6619999999999,27
13,589.8240000000001,28
14,511.2409999999999,29
14,1499.062,30

peor
0,0.001,0
0,0.001,1
0,0.002,2
0,0.002,3
0,0.004,4
0,0.009000000000000001,5
0,0.019,6
0,0.04,7
0,0.082,8
0,0.188,9
0,0.348,10
0,0.716,11
0,1.434,12
0,2.928,13
0,5.838,14
0,11.866,15
0,23.551,16
0,47.781,17
0,94.599,18
0,191.562,19
0,379.398,20
0,765.737,21
0,1520.206,22
0,3084.382,23
0,6096.307000000001,24
0,12309.058,25
0,24342.854,26
0,49091.65500000001,27
0,97736.99800000001,28
0,195355.376,29
0,395653.82,30

creciente
0,0.011,0
0,0.002,1
0,0.006,2
0,0.008,3
0,0.017,4
0,0.038,5
0,0.08699999999999999,6
0,0.083,7
0,0.118,8
0,0.263,9
0,0.58,10
0,1.281,11
0,2.78,12
0,6.008999999999999,13
0,12.798,14
0,27.436,15
0,58.43,16
0,124.033,17
0,261.37,18
0,552.7959999999999,19
0,1156.311,20
0,2408.815,21
0,4989.335999999999,22
0,10574.06,23
0,21947.081,24
0,44991.608,25
0,93660.90800000001,26
0,193665.269,27
0,402823.388,28
0,831709.835,29
0,1731535.83,30

