#analisisAleatorio ej3
#N promGL promLT promTE maxGL maxLT maxTE ptG+L ptT ptE
9 0 0 0 0 0 0 0 0 1
10 0 0 0 0 0 0 0 0 1
11 0 0 0 0 0 0 0 0 3
12 0 0 0 0 0 0 0 1 7
13 0 0 0 0 0 0 0 1 14
14 0 0 0 0 0 0 0 1 29
15 0 0 1 0 0 1 0 1 63
16 0 0 1 0 0 1 0 1 132
17 0 1 0 0 1 0 0 1 277
18 0 0 2 0 0 2 0 1 580
19 0 0 0 0 0 0 2 2 1213
20 0 0 1 0 0 1 0 2 2539
21 1 1 1 1 1 2 1 2 5305
