#N promGL promLT maxGL maxLT ptG+L ptT
10 0 0 0 0 0 0
20 0 1 0 2 0 2
30 0 2 0 3 0 5
40 4 3 5 6 0 10
50 3 4 6 10 0 17
60 3 6 4 17 0 29
70 5 6 9 18 0 44
80 4 12 8 43 1 64
90 4 12 8 27 1 88
100 6 12 31 40 1 117
110 5 15 21 59 1 152
120 8 22 49 90 1 200
130 5 19 10 101 1 247
140 3 18 9 62 2 304
150 15 23 67 71 3 371
160 4 22 10 138 3 449
170 6 23 19 80 3 538
180 12 29 75 104 4 633
190 8 28 27 87 4 734
200 26 33 190 97 4 858
